"from","to","KEGG","ReconX","HumanCyc","Reactome","OmniPath","weight","lapl_norm","lapl_norm_weight"
"HIF1A","EP300",NA,NA,NA,NA,"directed_stimulation",0.455,0.0283069258536149,0.0128796512633948
"CASP8","VIM",NA,NA,NA,NA,"directed",0.237333333333333,0.0653720450460613,0.0155149653575986
"PAK1","VIM",NA,NA,NA,NA,"directed_stimulation",0.3,0.0308166775680683,0.00924500327042048
"SP1","RELA",NA,NA,NA,NA,"directed_stimulation",0.419666666666667,0.0298807152333598,0.0125399401596
"IKBKB","RELA",NA,NA,NA,NA,"directed_stimulation",0.569333333333333,0.0283069258536149,0.0161160764526581
"CHUK","RELA",NA,NA,NA,NA,"directed_stimulation",0.606,0.0283069258536149,0.0171539970672906
"EP300","RELA",NA,NA,NA,NA,"directed_stimulation",0.465333333333333,0.024514516892273,0.0114074218605377
"RPS6KB2","PRKCD",NA,NA,NA,NA,"directed",0.388,0.0401286176952564,0.0155699036657595
"TP73","PRKCD",NA,NA,NA,NA,"directed_stimulation",0.344666666666667,0.0401286176952564,0.013830996898965
"ITGB2","PRKCD",NA,NA,NA,NA,"directed_stimulation",0.453666666666667,0.0401286176952564,0.018205016227748
"TP53","PRKCD",NA,NA,NA,NA,"directed_stimulation",0.484333333333333,0.0116381396942904,0.00563673899193463
"LCK","PRKCD",NA,NA,NA,NA,"directed_stimulation",0.458666666666667,0.0183586704838508,0.00842051019525956
"AKT3","PRKCD",NA,NA,NA,NA,"directed",0.407,0.019034674690672,0.00774711259910351
"MYD88","TLR4",NA,NA,NA,NA,"directed_stimulation",0.649333333333333,0.0666666666666667,0.0432888888888889
"IRAK2","TRAF6",NA,NA,NA,NA,"directed_stimulation",0.551333333333333,0.0877058019307029,0.0483551321311275
"IRAK1","TRAF6",NA,NA,NA,NA,"directed_stimulation",0.696333333333333,0.0427960492510913,0.0298003156285099
"TICAM1","TRAF6",NA,NA,NA,NA,"directed_stimulation",0.526333333333333,0.0462250163521024,0.0243297669399899
"RIPK2","TRAF6",NA,NA,NA,NA,"directed",0.607666666666667,0.0506369683541833,0.0307703977698921
"IKBKB","TRAF6",NA,NA,NA,NA,"directed_stimulation",0.606,0.0314037146510664,0.0190306510785462
"YWHAQ","YWHAB",NA,NA,NA,NA,"directed_stimulation",0.478333333333333,0.0811107105653813,0.038797956553774
"YWHAE","YWHAB",NA,NA,NA,NA,"directed_stimulation",0.446,0.0540738070435875,0.02411691794144
"ESR1","TRIM24",NA,NA,NA,NA,"directed",0.393333333333333,0.0226455406828919,0.00890724600193749
"MYC","RAF1",NA,NA,NA,NA,"directed",0.435666666666667,0.0172516389835589,0.00751596405050381
"JAK2","RAF1",NA,NA,NA,NA,"directed_stimulation",0.470666666666667,0.0285714285714286,0.013447619047619
