,gene_symbol,entrez_id
487,NELFE,7936
488,NCAM1,4684
489,MBTPS2,51360
490,MBD3,53615
491,MAX,4149
492,MAVS,57506
493,MAPKAPK5,8550
494,MAPKAPK3,7867
495,MAPKAPK2,9261
496,MAPKAP1,79109
497,MAPK9,5601
498,MAPK8,5599
499,MAPK7,5598
500,MAPK3,5595
501,MAPK1,5594
502,MAPK14,1432
503,MAPK11,5600
504,MAPK10,5602
505,MAP4K4,9448
506,MAP3K7,6885
507,MAP3K5,4217
508,MAP3K1,4214
509,MAP2K7,5609
510,MAP2K6,5608
511,MAP2K4,6416
512,MAP2K3,5606
513,MAMLD1,10046
514,MAML3,55534
515,MAML2,84441
516,MAML1,9794
517,MALT1,10892
518,MAFK,7975
519,MAFG,4097
520,LYN,4067
521,LYL1,4066
522,LY96,23643
523,LRRFIP1,9208
524,HGF,3082
525,HEY2,23493
526,HEY1,23462
527,HES1,3280
528,HERC5,51191
529,HELZ2,85441
530,HDAC9,9734
531,HDAC8,55869
532,HDAC7,51564
533,HDAC6,10013
534,HDAC5,10014
535,HDAC4,9759
536,HDAC3,8841
537,HDAC2,3066
538,HDAC1,3065
539,HDAC11,79885
540,HDAC10,83933
541,HCK,3055
542,HBEGF,1839
543,HBB,3043
544,HBA2,3040
545,HBA1,3039
546,H4C9,554313
547,H4C15,554313
548,H4C8,8365
549,H4C6,8361
550,H4C5,8367
551,H4C4,8360
552,H4C3,8364
553,H4C2,8366
554,H4C1,8359
555,H4C14,8370
556,H4C13,8368
557,H4C12,8362
558,H4C11,8363
559,H3C8,8355
560,H3C7,8968
561,H3C6,8353
562,H3C4,8351
563,H3C3,8352
564,H3C2,8358
565,H3C1,8350
566,H3C15,333932
567,H3C14,126961
568,H3C13,653604
569,H3C12,8356
570,H3C11,8354
571,H3C10,8357
572,H3-3B,3021
573,H3-3A,3020
574,H2BC9,8345
575,H2BC8,8339
576,H2BC7,8343
577,H2BC6,8344
578,H2BC4,8347
579,H2BC3,3018
580,H2BC21,8349
581,H2BC1,255626
582,H2BC17,8348
583,H2BC15,8341
584,H2BC14,8342
585,H2BC13,8340
586,H2BC12L,54145
587,H2BC12,85236
588,H2BC11,8970
589,H2BC10,8346
590,H2AZ2,94239
591,H2AX,3014
592,H2AJ,55766
593,H2AC8,3012
594,H2AC7,3013
595,H2AC6,8334
596,H2AC4,8335
597,H2AC20,8338
598,H2AC19,723790
599,H2AC18,8337
600,H2AB1,474382
601,GZMB,3002
602,GTF2F2,2963
603,GTF2F1,2962
604,GTF2A2,2958
605,GTF2A1,2957
606,GSK3B,2932
607,GSDMD,79792
608,GATAD2B,57459
609,GATAD2A,54815
610,GATA3,2625
611,GATA2,2624
612,GATA1,2623
613,FOXO4,4303
614,FOXO3,2309
615,FOXO1,2308
616,EIF2S3,1968
617,EIF2S2,8894
618,EIF2S1,1965
619,EIF2AK2,5610
620,EGR3,1960
621,EGR2,1959
622,EGR1,1958
623,EGF,1950
624,EED,8726
625,E2F5,1875
626,E2F4,1874
627,E2F3,1871
628,E2F2,1870
629,E2F1,1869
630,DUS2,54920
631,DRAP1,10589
632,DPP4,1803
633,DNAJC3,5611
634,DMD,1756
635,DMAP1,55929
636,DLG3,1741
637,DIS3,22894
638,DHX9,1660
639,DHX36,170506
640,DHH,50846
