SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9	SW10	SW11	SW12	SW13
IFNA5	1	1	1	1	1	1	1	1	1	1	1	1
IFNA4	1	1	1	1	1	1	1	1	1	1	1	1
IFNA2	1	1	1	1	1	1	1	1	1	1	1	1
IFNA21	1	1	1	1	1	1	1	1	1	1	1	1
IFNA1	1	1	1	1	1	1	1	1	1	1	1	1
IFNA17	1	1	1	1	1	1	1	1	1	1	1	1
IFNA16	1	1	1	1	1	1	1	1	1	1	1	1
IFNA14	1	1	1	1	1	1	1	1	1	1	1	1
IFNA10	1	1	1	1	1	1	1	1	1	1	1	1
CDKN2D	1	1	1	1	1	1	1	1	1	1	1	1
CDKN2C	1	1	1	1	1	1	1	1	1	1	1	1
CDKN2B	1	1	1	1	1	1	1	1	1	1	1	1
ZAP70	1	1	1	1	1	1	1	1	1	1	1	1
ICAM2	1.84898506373757	1.10372747421705	1	1.00078644150223	1.18165385531894	1	1.15208430596866	1.03750570853752	1	1	1.06169374583229	1.34685801130443
ITGB2	1.34487811424475	1.20601392430373	1.13655025000709	1.05346916603084	1	1.20880691773171	1.3673229602232	1	1.00194474354082	1	1.33857242374133	1.0912952821959
ITGAM	1.71935696705032	1.05601907993688	1	1.10560698084799	1	1	1	1.00008918838198	1.06789224457525	1	1.09850820751788	1.40461125599823
CASP8	1	1	1	1	1	1	1	1	1	1	1	1
SP1	10	1.06573787750356	1.79709867266463	1.54245920156556	1.05602134271385	1.1000246589762	2.80847396046787	1	2.3879767105077	1	1.84490989965884	3.89928295082127
RBPJ	1.39447290667998	1.00594839163105	1.16709941887819	1	1.00176599199862	1	1.12114222125469	1	1.03064144057367	1	1.05737987114215	1.13114286920676
PPARGC1A	1	1.00594839163105	1	1.15435278842055	1.42505667023872	1	1	1.02883915534817	1	1	1.48240960821935	1
CDK8	1	1	1	1	1	1	1	1	1	1	1	1
RBL1	1	1	1	1	1	1	1	1	1	1	1	1
FOXM1	1.94713040918673	1	1.18994372484398	1	1	1.38237772312811	1.04254924894267	1.55381118759259	1	1	1.19436710459587	1
SOCS2	1	1	1	1	1	1	1	1	1	1	1	1
FBXW7	1	1	1	1	1	1	1	1	1	1	1	1
CISH	1	1	1	1	1	1	1	1	1	1	1	1
YES1	1	1	1	1	1	1	1	1	1	1	1	1
KIT	1	1	1	1	1	1	1	1	1	1	1	1
JAK1	1	1	1	1	1	1	1	1	1	1	1	1
IL6R	1	1	1	1	1.00800288678703	1.00842055008693	1.00466710892402	1	1.00022388669801	1	1	1
SOCS3	1	1	1	1	1	1	1	1	1	1	1	1
RORC	1	1.01731917189831	1	1	1	1.35234878370644	1	1	1.15048220791611	1	1.05151941454862	1.00981711657331
LIFR	1	1	1	1	1	1	1	1	1	1	1	1
ITCH	1	1	1	1	1.00080005507742	1.11560779305863	1	1.02179516489119	1	1	1.02835064985343	1
IFNG	1	1	1	1	1	1	1	1	1	1	1	1
CDKN2A	1	1	1	1	1	1	1	1	1	1	1	1
PRL	1	1	1	1	1	1	1	1	1	1	1	1
PRLR	1	1	1	1	1	1	1	1	1	1	1	1
