SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9	SW10	SW11	SW12	SW13
YWHAZ	1	1	1	1	1.19180543102791	1	1	1	1	1	1	1
YWHAQ	1	1	1.66533581807429	1.00078366192282	1.0031359513362	1	1.07574083416465	1.03192363818866	1	1	1	1
YWHAH	1	1	1.00621075787942	1.00981265035837	1.27987401176628	1	1.05769526373476	1.00007621277394	1	1	1	1
HLA-G	1	1	1	1	1	1	1	1	1	1	1	1
HLA-F	1	1	1	1	1.03346584133154	1	1	1	1	1	1.01862815768584	1
HLA-E	1	1	1.11093590286862	1	1	1	1.00798304913661	1.00008295979106	1	1	1.12443600659468	1
HLA-C	1	1	1	1	1	1	1	1	1	1	1	1
HLA-B	1	1	1.00184942672789	1	1.14797818290499	1	1.07217454398382	1.00008891789101	1	1	1.15993116358851	1
SMURF2	1	1	1	1	1	1	1	1	1	1	1	1
PPP1CC	1	1	1	1	1	1	1	1	1	1	1	1
YWHAG	1	1	1	1	1	1	1	1	1	1	1	1
YWHAE	1	1	1	1	1	1	1	1	1	1	1	1
TP53	1	1	1	1	1	1	1	1.0070723902765	1	1	1	1
ICAM3	1	1	1	1	1	1	1	1	1	1	1	1
F3	1	1.08328186910382	1	1	1	1.32378465405516	1	1	1	1	1	1
RARA	1	1.00594839163105	1	1	1	1	1	1.0234149496128	1	1	1	1
NCOA3	1	1.03034621924062	1	1	1.13112750040912	1	1	1	1.00693386638915	1	1	1
MEN1	1	1	1	1	1	1	1	1	1	1	1	1
KAT2B	1.20447203433402	1	1.16709941887819	1.05783134428134	1.00435204584658	1	1.01807882300825	1	1.00693386638915	1	1.13202960096768	1.03374333184902
JUN	1	1	1	1	1.07914166163535	1	1	1.01698293424064	1	1	1	1
ATF2	1	1	1	1	1.08869976923453	1	1	1	1.00693386638915	1	1	1
ESR1	1	1.07360049910306	1	1	1	1.08306127389751	1	1.04280787712416	1	1	1	1
IRS2	1	1	1	1	1	1	1	1	1	1	1	1
VEGFA	1.25292891457519	1.01165730194037	1	1.14865807817592	1	1.85640148447842	1.03768736020564	1	1.00022581327338	1.01203094418607	1.15812440496333	2.12365348372508
HIF1A	1	1.00594839163105	1	1	1	1	1	1.02487786305498	1.00394603965276	1	1	1
NCOR2	3.0542144637789	1.76219414433031	1	1.41955039787567	1.40553480729627	1	1	1	1.18652909087464	1	1	2.9603329452888
NCOR1	1.23143159080463	1.09117616876616	1	1	1.02416097178647	1.00338973595594	1	1	1.13714297390944	1	1	1.08659549737972
MED1	1.29844760973832	1.00594839163105	1.6472903703028	1	1	1	1.14422296684636	1	1	1	1	1.01258196823356
KDM1A	1	1	1	1	1	1	1	1	1	1	1	1
HSP90AB1	1.00627209317152	1	1.34532997666744	1	1	1.01501591360365	1.11580730567302	1	1	1.00635186024083	1	1
PAK3	1	1	1	1	1	1	1	1	1	1	1	1
NCK2	1	1	1	1	1	1.54766645396279	1.00872674053768	1	1.00013920390572	1	1.06504785395561	1
PAK1	1	1	1	1	1	1	1	1	1	1	1	1
SMURF1	1	1	1	1	1	1	1	1	1	1	1	1
RASA1	1	1	1	1	1	1	1	1	1	1	1	1
RHOU	1	1	1	1	1	1	1	1	1	1	1	1
PAK2	1	1	1	1	1	1	1	1	1	1	1	1
LCK	1	1	1	1	1	1	1	1	1	1	1	1
GAB2	1	1	1	1	1	1	1	1	1	1	1	1
FOS	1	1	1	1	1.29673781463635	1	1	1.1166472889982	1	1	1	1
AKT3	1	1.00001225132122	1.00735016726629	1	1	1.46794807663125	1	1.00008704146953	1.0002326011973	1	1.16225874929858	1
PTK6	1	1	1	1	1	1	1	1	1	1	1	1
LAMTOR3	1	1	1.53145719185884	1	1	1	1.61630400609181	1.00007784016184	1	1	1	1
EP300	1	1.00594839163105	1	1.05999329309595	1.00435204584658	1.06460259159002	1	1	1.07353548551314	1	1	1
VIM	1	1.0000122505985	1	1	1	1.04065151878179	1	1.00008310419928	1	1	1	1
RELA	1	1	1	1	2.4386128435947	1	1	1.05084013428079	1	1	1	1
PRKCD	1	1	1	1	1	1	1	1	1	1	1	1
PPP3CB	1	1	1	1	1	1	1	1	1	1	1	1
TLR4	1	1	1.24364204651208	1	1.1294995833502	1	1	1.37801938550997	1	1	1.33767585898164	1
TRAF6	1	1	1	1	1	1	1	1	1	1	1	1
LEF1	1	1.21156651995693	1	1	1	1.00024107853649	1	1	1.00693386638915	1	1	1
YWHAB	1	1.04786328195212	1	1	1.65377298109095	1	1.167850373056	1.00008132868596	1	1	1	1
