nes_SW2	fdr_SW2	nes_SW3	fdr_SW3	nes_SW4	fdr_SW4	nes_SW5	fdr_SW5	nes_SW6	fdr_SW6	nes_SW7	fdr_SW7	nes_SW8	fdr_SW8	nes_SW9	fdr_SW9	nes_SW10	fdr_SW10	nes_SW11	fdr_SW11	nes_SW12	fdr_SW12	nes_SW13	fdr_SW13
CASZ1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CBFA2T3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CBFB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CC2D1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CC2D1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCDC62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCND1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDC5L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDX2	1.15222735083026	0.386386508473357	2.18734497321456	0.260981346740017	0.0689081033641893	0.965971236627283	-0.546678109416481	0.818439854369107	0.0326048878803804	0.982496131956455	0.228728442589881	0.932039161455802	0.285403394894963	0.882277880269937	0.373455682245075	0.919859290837767	1.25570158711594	0.690439805816526	0.132529126349492	0.99530981670994	-0.421926092593912	0.813748460706084	-0.201209587576374	0.886591390617869
CDX4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CEBPA	3.73966385378343	0.000989896794434593	-2.21584013337995	0.25701110801099	-2.21471918063614	0.189308191274867	-0.838722410347669	0.728901035961685	0.873633705498469	0.7421462487864	1.06401414286362	0.587357961228553	1.78148625059257	0.266270937522052	-0.553428572225545	0.895251678445927	-0.229832068065803	0.964333383690071	-1.97818663770099	0.992648160101677	0.621424519025794	0.705302853633324	-1.37492086940953	0.317683179061852
CEBPB	4.9815064768577	7.2870303974705e-06	-1.18478225769898	0.623919944673733	2.06977481967351	0.206682879495072	-0.396093196640447	0.845822116387856	0.744717945709868	0.778082485328814	1.40681528494773	0.433416247399325	0.296992539716306	0.879556768601039	-1.33044049697284	0.552780619178625	2.60765411634747	0.111745811498106	-0.557888326273085	0.992648160101677	1.7518913382537	0.211862829528362	1.2869076952719	0.344114382741171
CEBPD	2.29143349038601	0.055084346516512	0.360649067125251	0.91999376729026	0.62081624315713	0.77173408881355	-0.00969795544078277	0.996576456164876	0.357724269914493	0.885307960536269	0.953916514442196	0.63877303801249	1.39855183888615	0.411595634749517	0.287811707480688	0.923404211885298	0.606206960211656	0.916345835692911	0.0594685298052871	0.99530981670994	0.985706176241414	0.550549402548956	1.88788749537648	0.158587021488531
CEBPE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CEBPG	4.70259304841509	2.82565899041733e-05	-1.81932493409274	0.403966369442563	-0.370447301125163	0.881969431322143	0.75623274336174	0.763505385838521	1.53106829442554	0.399287495768113	0.809485705904073	0.710385843972987	0.229055605871187	0.90501787623083	-0.791746951890767	0.831526089020032	1.02155676697559	0.808044973531591	-0.077624885725883	0.99530981670994	3.115923972201	0.0162916785478687	-0.665235383326504	0.626885559528376
CEBPZ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CGGBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CHD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CIC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CIITA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CITED2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CLOCK	0.0716379023197419	0.955296524227408	-1.71729620944977	0.432224608818386	0.994555995856174	0.61590809744228	-1.25795563738607	0.506760020202407	-0.701142262332462	0.778082485328814	0.42848224911263	0.858428512976218	1.35077259209085	0.425348698565839	-1.42244419805605	0.552780619178625	-0.566243043663715	0.916345835692911	-0.792344333901282	0.992648160101677	-0.237809851544384	0.901820198960176	-1.94816681280964	0.144783493698905
CNOT4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CNOT7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COPS5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB1	4.41403575084151	8.08190877579372e-05	-0.149776936604617	0.956400047030013	0.225221053525842	0.92531174275963	0.843414948506181	0.728901035961685	-1.16752171646074	0.576715368429739	1.60584616856935	0.374954269791291	2.02731820690329	0.189375046956615	0.0110047475849794	0.99542184346398	0.939238724577819	0.812330433651024	0.121696781653598	0.99530981670994	3.17679550547401	0.0137594684387597	1.96295401215704	0.141598773226835
CREB3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBBP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBRF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBZF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREM	-1.03029324990315	0.440022117788323	-0.697076248388381	0.796936402607583	-0.198405347427237	0.92957292113974	-0.741048716667315	0.767763488968466	-0.141473605209699	0.960466845785038	0.759852507940711	0.727719547966295	0.657162950550471	0.72875672588065	-1.95462367766967	0.441426278602858	0.567789165295664	0.916345835692911	0.665283274138838	0.992648160101677	0.0326880788595433	0.991084975094581	0.175877414005842	0.895270935556108
CRX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTBP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTCF	0.72182794209539	0.590556858105845	1.20128193049267	0.620151271953985	-0.711501903152545	0.744152877077541	-0.629780837969004	0.795886790722741	1.2125703179618	0.569098402647869	-0.464430215016834	0.838307543807031	0.735620281724166	0.692942724223759	0.00573789979456687	0.99542184346398	0.105450561108131	0.997263408608624	0.929995298417257	0.992648160101677	0.526004838711827	0.760123072544228	-0.400630742170881	0.78675487381036
CTCFL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
