nes_SW2	fdr_SW2	nes_SW3	fdr_SW3	nes_SW4	fdr_SW4	nes_SW5	fdr_SW5	nes_SW6	fdr_SW6	nes_SW7	fdr_SW7	nes_SW8	fdr_SW8	nes_SW9	fdr_SW9	nes_SW10	fdr_SW10	nes_SW11	fdr_SW11	nes_SW12	fdr_SW12	nes_SW13	fdr_SW13
APEX1	0.680285410611622	0.703633439324997	-0.632156217850832	0.912232997210406	0.25392894446519	0.926457891717625	-0.771692923481477	0.816884174749764	-1.69300825894288	0.538060799095097	1.50977212125358	0.652117347210135	-0.466252766664612	0.815110928743621	-1.21930361441101	0.72199224662626	1.05599243398654	0.844237257803741	0.660670210161567	1	0.72183240639283	0.861894322106321	0.461851848662221	0.86440982725325
AR	0.799695194903904	0.648673103193212	-1.48681262688148	0.693737757473332	-0.527980957352878	0.842945582006311	-0.904339628319714	0.792990632755709	-0.596091536024383	0.878979319724189	2.13170166810437	0.414328392067608	-0.145105856636562	0.937618089853185	-1.19000725549411	0.725506510068062	0.755435233186894	0.940735530761262	-1.45560031279329	1	1.13375285581629	0.695916805451641	0.128170994577299	0.977648826754181
ARHGAP35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID1A	-0.464401801684982	0.799923489944595	-0.120546879713447	0.986396694810996	-1.88966114291548	0.3274835483248	-1.52768917928346	0.578319516130812	-0.0363154873166034	0.999122648376062	-0.371416651682399	0.914021905429815	0.961554908018541	0.640280798673232	1.272635376874	0.710988319526751	-1.19474000890721	0.788075511516482	0.840800584081154	1	-1.32537379150776	0.639194302784144	-1.62530833892826	0.319488814691391
ARID1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID3A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID3B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID4A	-1.66498023454393	0.279514825573214	-1.37781336166159	0.724526496936916	0.891309792477409	0.691015277672854	-1.58454719424828	0.562422049200087	-0.476484101572891	0.944651527577235	0.195630225846038	0.941209447843707	-0.679707414469059	0.746328073380433	0.701458305136776	0.889528496972565	-0.801455962606568	0.92773642317481	0.045913811981584	1	0.976659737799282	0.771087156313922	-1.91362916113988	0.222450533650557
ARID4B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID5A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARID5B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARNT	0.0565644340151573	0.976292986689639	-0.212376772500309	0.986396694810996	0.279243831723801	0.926434952945506	0.00501399406590373	0.999846362425986	1.44473603532883	0.621036154764503	-0.841783754467416	0.807475882653536	-0.212464540317099	0.912389081162601	1.93079944724407	0.527222087849759	-2.0802081493825	0.460451464225995	-1.29438397736094	1	1.56428927886871	0.504875001038323	-0.0983387751350604	0.979552643059149
ARNT2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARX	0.53572365368641	0.776459282181214	-2.19945177372776	0.411975258486379	1.22307508517057	0.570048535705302	-0.878973265293404	0.796083273687603	-0.0718559646311937	0.999122648376062	0.77965130622244	0.825921413456247	0.419726329280526	0.827299453643518	-0.408217350128324	0.931683792047692	-1.58370738022282	0.683946440716806	0.0646737559117347	1	0.569128426703079	0.876234056516486	0.209305310829952	0.962678231702179
ASCL1	2.79400805374135	0.0333757200983163	0.804274345555677	0.859532143644394	1.99917955096585	0.322455245106818	2.40792419300419	0.286774676441268	1.16882193946979	0.696389075689276	-1.15051854451115	0.7531621689771	1.86857190834368	0.289661577722834	0.399409296383174	0.932709312849315	1.25216415680472	0.757255064693138	0.0682051293894688	1	0.374047657160118	0.896663416729401	3.53138601574161	0.00795082892905103
ASCL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASCL4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASH1L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASXL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATF1	1.13465842036037	0.500037683853475	0.538445985344582	0.933110467032329	1.88336211412697	0.3274835483248	0.0178853072103734	0.999363958375654	-0.235588959224392	0.990029086590788	-0.0553557489271836	0.979984467327943	1.57972169914209	0.378600254661431	1.24403335513984	0.719096880785923	-0.167719611278692	0.984160960676065	1.29473492907619	1	1.18697101480715	0.694569591436562	0.594291403088711	0.807477576394462
ATF2	2.68845793008739	0.0442071144427502	0.0488783263581537	0.986396694810996	2.50483873399124	0.159551660116011	0.827543094085374	0.816498176123531	-0.848376608232938	0.815267689422217	1.44250516875245	0.694074763497588	3.34046884267145	0.0178735505041397	1.27382945022028	0.710988319526751	-0.43593799875857	0.984160960676065	-1.20065070275563	1	3.83307458030149	0.0146040506243949	1.89487563773194	0.224777638300367
ATF3	-0.178045670800318	0.931530604987199	0.443716663311066	0.950297187292096	0.745936999545669	0.745916468181469	-0.059166974793933	0.998025526047799	1.11233398961244	0.727020958356748	-0.232139720254537	0.941209447843707	1.38736086159299	0.462863648248716	1.64113464492984	0.660727083254609	-1.02204797642849	0.852622137659266	0.357891145200602	1	0.946573996576459	0.787838714424469	0.956190395809054	0.6342618565178
ATF4	2.85172261531866	0.0309749462784421	0.439317023650564	0.950297187292096	-1.79380025765284	0.362341355254191	0.109508859001736	0.995901332841216	0.628654974844624	0.870554850550978	0.983022302475329	0.794283134531254	0.395524782834552	0.842925952860829	1.31587174720384	0.70065330723511	-0.392040132847207	0.984160960676065	-0.775348751252141	1	0.819073943755726	0.836555014582041	-0.563948305537537	0.816047985391559
ATF5	0.166337763299579	0.933005465920111	0.920246492135769	0.859532143644394	0.381145216193211	0.892033923729346	-1.489664991763	0.586956883954151	-0.339751338608795	0.987280350803361	0.123006714184262	0.968521168225267	1.30425491689481	0.492749489011114	0.145456352179525	0.972779452179384	-0.506756944325138	0.984160960676065	-1.29863692524521	1	0.12999399715148	0.955906394870185	1.00045836264973	0.611125359669899
