gene_symbol	entrez_id
390	5_8S_rRNA	124907336
391	5_8S_rRNA	124907337
392	5_8S_rRNA	124907338
393	5_8S_rRNA	124907339
394	5_8S_rRNA	124907340
395	5_8S_rRNA	124907341
396	5_8S_rRNA	124907342
397	5_8S_rRNA	124907343
398	5_8S_rRNA	124907439
399	5_8S_rRNA	124907440
400	5_8S_rRNA	124907450
401	5_8S_rRNA	124907458
402	5_8S_rRNA	124907467
403	5_8S_rRNA	124907475
404	5_8S_rRNA	124907476
405	5_8S_rRNA	124907477
406	5_8S_rRNA	124907478
407	5_8S_rRNA	124907479
408	5_8S_rRNA	124907480
409	5_8S_rRNA	124907481
410	5_8S_rRNA	124907482
411	5_8S_rRNA	124907483
412	5_8S_rRNA	124907484
413	5_8S_rRNA	124907572
414	5_8S_rRNA	124907573
415	5_8S_rRNA	124907574
416	5_8S_rRNA	124907575
417	5_8S_rRNA	124907576
418	5_8S_rRNA	124907577
419	5_8S_rRNA	124907578
420	5_8S_rRNA	124907579
421	5_8S_rRNA	124907580
422	5_8S_rRNA	124907581
423	5_8S_rRNA	124907584
424	5_8S_rRNA	124907585
425	5_8S_rRNA	124907586
426	5_8S_rRNA	124907587
427	5_8S_rRNA	124907588
428	5_8S_rRNA	124907589
429	5_8S_rRNA	124907590
430	5_8S_rRNA	124907591
431	5_8S_rRNA	124907592
432	5_8S_rRNA	124907593
433	5_8S_rRNA	124907594
434	5_8S_rRNA	124907595
435	5_8S_rRNA	124907596
436	5_8S_rRNA	124907597
437	5_8S_rRNA	124907598
438	5_8S_rRNA	124907600
439	5_8S_rRNA	124907611
440	5_8S_rRNA	124907622
441	5_8S_rRNA	124907633
442	5_8S_rRNA	124907644
443	5_8S_rRNA	124907655
444	5_8S_rRNA	124907662
445	5_8S_rRNA	124907673
446	5_8S_rRNA	124907684
447	5_8S_rRNA	124907694
448	5_8S_rRNA	124907705
449	5_8S_rRNA	124907709
450	5_8S_rRNA	124907710
451	5_8S_rRNA	124907711
452	5_8S_rRNA	124907712
453	5_8S_rRNA	124907713
454	5_8S_rRNA	124907714
455	5_8S_rRNA	124907715
456	5_8S_rRNA	124907716
457	5_8S_rRNA	124907717
458	5_8S_rRNA	124907718
459	5_8S_rRNA	124907719
460	5_8S_rRNA	124907720
461	5_8S_rRNA	124907721
462	5_8S_rRNA	124908237
463	5_8S_rRNA	124908238
464	5_8S_rRNA	124908239
465	5_8S_rRNA	124908240
466	5_8S_rRNA	124908241
467	5_8S_rRNA	124908242
468	5_8S_rRNA	124908243
469	5_8S_rRNA	124908244
470	5_8S_rRNA	124908245
471	5_8S_rRNA	124908246
472	5_8S_rRNA	124908247
473	5_8S_rRNA	124908248
474	5_8S_rRNA	124908249
475	5_8S_rRNA	124908254
476	5_8S_rRNA	124908257
477	5_8S_rRNA	124908268
478	5_8S_rRNA	124908278
479	5_8S_rRNA	124908289
480	5_8S_rRNA	124908300
481	5_8S_rRNA	124908310
482	5_8S_rRNA	124908316
483	5_8S_rRNA	124908327
484	5_8S_rRNA	124908336
485	5_8S_rRNA	124908347
486	5_8S_rRNA	124908358
487	5_8S_rRNA	124908368
488	5_8S_rRNA	124908369
489	5_8S_rRNA	124908370
490	5_8S_rRNA	124908371
491	5_8S_rRNA	124908372
492	5_8S_rRNA	124908373
493	5_8S_rRNA	124908374
494	5_8S_rRNA	124908375
495	5_8S_rRNA	124908376
496	5_8S_rRNA	124908377
497	5_8S_rRNA	124908378
498	5_8S_rRNA	124908379
499	5_8S_rRNA	124908380
500	5_8S_rRNA	124908381
501	5_8S_rRNA	124908382
502	5_8S_rRNA	124908383
503	5_8S_rRNA	124908384
504	5_8S_rRNA	124908385
505	5_8S_rRNA	124908386
506	5_8S_rRNA	124908387
507	5_8S_rRNA	124908388
508	5_8S_rRNA	124908389
509	5_8S_rRNA	124908390
510	5_8S_rRNA	124908391
511	5_8S_rRNA	124908392
512	5_8S_rRNA	124908393
513	5_8S_rRNA	124908474
514	5_8S_rRNA	124908494
515	5_8S_rRNA	124908504
516	5_8S_rRNA	124908512
517	5_8S_rRNA	124908513
518	5_8S_rRNA	124908514
519	5_8S_rRNA	124908515
520	5_8S_rRNA	124908516
521	5_8S_rRNA	124908517
522	5_8S_rRNA	124908518
523	5_8S_rRNA	124908519
524	5_8S_rRNA	124908520
525	5_8S_rRNA	124908521
526	5_8S_rRNA	124908522
527	5_8S_rRNA	124908523
528	5_8S_rRNA	124908524
529	5_8S_rRNA	124908525
530	5_8S_rRNA	124908526
531	5_8S_rRNA	124908527
532	IMPDH1P5	NA
533	DLG5	9231
534	KIR2DS1	3806
535	ZNF43	7594
536	DHX36	170506
537	ZNF100	163227
