"","PC1","PC2"
"Sample 3",-21.8911426763353,-3.4125993960721
"D708_D502",-25.4949062438549,-7.20563157507403
"Sample 65",-27.4955295401697,5.68292853427398
"D707_D504",-27.7100699852825,-17.680290850487
"D703_D501",-30.632741363741,-35.5942372397832
"D701_D504",-30.6940202377816,-16.8294333828211
"Sample 1",-32.6460182491237,4.6500879191151
"Sample 30",-33.9920604438646,-5.90937663759092
"D711_D504",-36.4809172049305,-36.1946406079799
"D712_D501",-37.176581058989,-15.4668078689186
"Sample 8",-47.7404934154604,44.8523368427335
"Sample 29",-52.4522959286512,-24.3578519878619
"Sample 7",-65.9266447938859,45.2086676598151
