	Steatosis	Ballooning	Fibrosis	NAS	Inflammation	average_cor	median_cor
sw_graphs_8_24_03_99	0.7513926833493687	0.8956043956043956	0.9340659340659341	0.8901098901098901	0.8225592375816906	0.8587464281422559	0.8901098901098901
sw_graphs_8_24_03_98	0.7785426897512322	0.8956043956043956	0.9340659340659341	0.8901098901098901	0.8225592375816906	0.8641764294226286	0.8901098901098901
sw_graphs_8_24_03_97	0.7513926833493687	0.8956043956043956	0.9340659340659341	0.8901098901098901	0.8225592375816906	0.8587464281422559	0.8901098901098901
sw_graphs_8_24_03_96	0.7513926833493687	0.8956043956043956	0.9340659340659341	0.8901098901098901	0.8225592375816906	0.8587464281422559	0.8901098901098901
sw_graphs_8_24_03_94	0.7785426897512322	0.8956043956043956	0.9340659340659341	0.8901098901098901	0.8225592375816906	0.8641764294226286	0.8901098901098901
sw_graphs_8_24_03_92	0.7785426897512322	0.8956043956043956	0.9340659340659341	0.8901098901098901	0.8225592375816906	0.8641764294226286	0.8901098901098901
sw_graphs_8_24_03_35	0.8335633745393052	0.8901098901098901	0.9120879120879121	0.8956043956043956	0.8351648351648352	0.8733060815012677	0.8901098901098901
sw_graphs_8_24_03_91	0.7785426897512322	0.8956043956043956	0.9175824175824175	0.8901098901098901	0.8225592375816906	0.8608797261259251	0.8901098901098901
sw_graphs_8_24_03_33	0.8335633745393052	0.8901098901098901	0.9120879120879121	0.8956043956043956	0.8351648351648352	0.8733060815012677	0.8901098901098901
sw_graphs_8_24_03_28	0.8292042483657824	0.8901098901098901	0.9120879120879121	0.9065934065934066	0.8088040663846724	0.8693599047083327	0.8901098901098901
sw_graphs_8_24_03_21	0.8292042483657824	0.8901098901098901	0.8956043956043956	0.9065934065934066	0.8088040663846724	0.8660632014116294	0.8901098901098901
sw_graphs_8_24_03_32	0.8335633745393052	0.8901098901098901	0.9120879120879121	0.8901098901098901	0.8351648351648352	0.8722071804023666	0.8901098901098901
sw_graphs_8_24_03_23	0.8292042483657824	0.8901098901098901	0.9120879120879121	0.9120879120879121	0.8088040663846724	0.8704588058072338	0.8901098901098901
sw_graphs_8_24_03_24	0.8292042483657824	0.8901098901098901	0.9120879120879121	0.9065934065934066	0.8088040663846724	0.8693599047083327	0.8901098901098901
sw_graphs_8_24_03_25	0.8292042483657824	0.8901098901098901	0.9120879120879121	0.9120879120879121	0.8088040663846724	0.8704588058072338	0.8901098901098901
sw_graphs_8_24_03_26	0.80223218536224	0.8901098901098901	0.9120879120879121	0.9065934065934066	0.8088040663846724	0.8639654921076241	0.8901098901098901
sw_graphs_8_24_03_27	0.80223218536224	0.8901098901098901	0.9120879120879121	0.9065934065934066	0.8088040663846724	0.8639654921076241	0.8901098901098901
sw_graphs_8_24_03_22	0.8292042483657824	0.8901098901098901	0.9120879120879121	0.9065934065934066	0.8088040663846724	0.8693599047083327	0.8901098901098901
sw_graphs_8_24_03_29	0.80223218536224	0.8901098901098901	0.9120879120879121	0.9065934065934066	0.8088040663846724	0.8639654921076241	0.8901098901098901
sw_graphs_8_24_03_31	0.8335633745393052	0.8901098901098901	0.8956043956043956	0.8901098901098901	0.8351648351648352	0.8689104771056633	0.8901098901098901
sw_graphs_8_24_03_70	0.7880922768806395	0.8791607177646245	0.8881118881118881	0.8881118881118881	0.7670764828304891	0.8421106507399058	0.8791607177646245
sw_graphs_8_24_03_15	0.8374687425355412	0.8775799223697636	0.9120879120879121	0.8956043956043956	0.8088040663846724	0.866309007796457	0.8775799223697636
sw_graphs_8_24_03_11	0.8374687425355412	0.8775799223697636	0.8956043956043956	0.8901098901098901	0.8088040663846724	0.8619134034008527	0.8775799223697636
sw_graphs_8_24_03_19	0.8105311390039183	0.8775799223697636	0.9120879120879121	0.8901098901098901	0.8088040663846724	0.8598225859912313	0.8775799223697636
