logfc_SW2	fdr_SW2	logfc_SW3	fdr_SW3	logfc_SW4	fdr_SW4	logfc_SW5	fdr_SW5	logfc_SW6	fdr_SW6	logfc_SW7	fdr_SW7	logfc_SW8	fdr_SW8	logfc_SW9	fdr_SW9	logfc_SW10	fdr_SW10	logfc_SW11	fdr_SW11	logfc_SW12	fdr_SW12	logfc_SW13	fdr_SW13
ABCA8	-0.135444933841889	0.506721661569862	-0.144752666353433	0.670073295018867	-0.0143874826704752	0.987291820369384	0.0949138331236811	0.982995898930407	0.0470601267650941	0.943512340124583	-0.372004401948694	0.232128519070111	-0.0580009396206834	0.959082695195466	0.180967073670361	0.999825254749618	0.0956157731484154	0.999550711701349	-0.181819833947538	0.904114729403565	-0.0574983413943873	0.898276767147134	-0.0230618025723752	0.977639444837601
ABCA9	-0.0394939104260494	0.928649239352595	-0.115909208377308	0.792789252364139	-0.171945721733798	0.804514367619807	-0.308465605318724	0.660613139720453	0.000867549549078784	0.998313537431291	-0.0170057949050388	0.975413229287224	-0.0027539385633341	0.997951396028703	0.00412689303930236	0.999825254749618	0.153059840541987	0.999550711701349	0	1	-0.133802420007157	0.799740482961423	0.0518310358090124	0.929083290209541
ABCB1	0.0205864506716948	0.958128500690861	0.0826973770856694	0.86358513054133	0.22074458486722	0.614936625851235	-0.0898370189571659	0.975213427203528	-0.118631888690833	0.715473042157685	0.162177087217347	0.675884390371357	-0.274279955393572	0.492530638003181	0.119206741038088	0.999825254749618	0.234140859125525	0.953564698615	0	1	-0.0343089338643034	0.955658015225778	0.163024201830171	0.717940969862292
ABCB11	-0.157665297641225	0.696248976782795	-0.440300861450753	0.112980408185582	0.154781202276214	0.837625962146802	-0.0261578040213127	0.997206629392131	0.0300078040849009	0.97053961769365	0.0652504817382836	0.932249513250888	-0.571039641608144	0.196130543518693	-0.174286041510419	0.953091825770765	0.0580469710365498	0.999550711701349	-0.269728474133868	0.802321238160441	0.148053475744322	0.684661262469022	-0.299890505402866	0.176082564552115
ABCB7	-0.0573776585780119	0.798245318035466	-0.114972217552635	0.618500597244016	0.0333475349427072	0.945198306804095	-0.0152671113256241	0.997206629392131	0.0659603194905784	0.824747193682128	-0.0531918928349665	0.851314161339312	-0.0802060055884793	0.813897290629224	-0.0517787048961608	0.999825254749618	-0.0244433835814848	0.999550711701349	0	1	0.0548550219479075	0.796489249713059	-0.0478170544161942	0.860539898539116
ABCC1	0.190528459609699	0.457962822359636	0.0825700009980659	0.903518557908806	0.271056910159531	0.594924199632311	0.00714612295701004	0.998761269504433	0.17585820442753	0.616195085078263	-0.340432797559329	0.244076717323763	0.556607376756591	0.0479020199894796	-0.156865481514697	0.999825254749618	-0.221603728853211	0.999550711701349	0	1	0.195475895207637	0.549537263898242	0.181342288758476	0.678383240186258
ABCC10	0.0269899485628347	0.951940878040588	-0.0227486724149378	0.971472729256661	0.262722207969474	0.562202016981142	-0.0863412207522647	0.984413174002517	-0.139308645661063	0.659256051095624	-0.120483881193077	0.620170049770591	0.0174570661141078	0.982138842936612	0.177167132911745	0.982222776631985	-0.04321951758652	0.999550711701349	0	1	0.122123197170014	0.748773058002259	-0.120901863483913	0.748661646938818
ABCC3	-0.176590474555006	0.33980645108685	-0.074544591742263	0.822983878590812	0.0810914790821205	0.854098178327381	-0.20618731950673	0.783751199270779	-0.184549993356227	0.357845732069356	0.0759364091619802	0.790742413332931	0.177897690829972	0.5252157502814	-0.242885920741151	0.667847765774182	-0.146387583217067	0.999550711701349	0.298397410311315	0.807089402838802	-0.0605997272208108	0.904597034930516	-0.115329297181043	0.773489777649117
ABCC4	-0.0446771531990636	0.94425803592925	0.0146982373827157	0.99336500452248	0.697435638657794	0.322136964701563	-0.404717192896031	0.76286626999491	0.168256382510032	0.795051794592973	0.127158903837947	0.842095005623497	-0.238001067722825	0.798230406326588	0.68163305880452	0.321808433716641	-0.627320788276725	0.797645233918498	0	1	0.0290307063683563	0.967365755559817	0.331840900393139	0.489575355077028
ABCC6	-0.0491751420380156	0.872981353558687	0.0260905719396912	0.962535277009835	0.0605162272937789	0.846137228466781	-0.0227313937301502	0.994947548351416	-0.11847642631221	0.51106705760374	-0.107547582738215	0.701055252866121	0.228389602313629	0.388796575065631	0.0918818544090728	0.999825254749618	-0.0316310472414863	0.999550711701349	0.0866683184134653	0.960710587978592	-0.112750790953456	0.776657221930646	-0.32777076649598	0.130815972095428
