nes_SW2	fdr_SW2	nes_SW3	fdr_SW3	nes_SW4	fdr_SW4	nes_SW5	fdr_SW5	nes_SW6	fdr_SW6	nes_SW7	fdr_SW7	nes_SW8	fdr_SW8	nes_SW9	fdr_SW9	nes_SW10	fdr_SW10	nes_SW11	fdr_SW11	nes_SW12	fdr_SW12	nes_SW13	fdr_SW13
ATF7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATOH1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATOH7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATOH8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATRX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BACH1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BACH2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARHL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BATF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BATF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BATF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BBX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL11A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL11B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL6	-0.382256085156158	0.853589577014034	-0.108441579606921	0.95285294043145	1.22037154124245	0.555810151536453	0.403720892195926	0.960987351416466	-0.321587438055057	0.950766185811039	0.954297511334421	0.983396149753082	-0.134426754806094	0.966631069448614	-0.288307371944013	0.893272934592786	0.830368851242765	0.885306046673616	1.54242069572208	0.381038127198616	-0.117088378937341	0.965832083967358	-0.346982127244678	0.871157848480161
BCL6B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCLAF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHA15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BMAL1	0.137062178615351	0.937875418277533	-2.16944546661147	0.236241139369924	-0.334735122023078	0.879048351326342	0.544076194384513	0.960987351416466	1.01403434683503	0.763275320386079	0.0887479170741398	0.983396149753082	0.568223956786423	0.79429222277073	-0.0256016787465978	0.988561974101238	-0.349819172888687	0.961900310396585	-1.51461481218896	0.391388977464809	1.17826731732588	0.68828839727197	-0.328881812833581	0.882669755396187
BMAL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BPTF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BRCA1	-0.0133104220851747	0.99169419377423	1.2904194377268	0.562585905232797	0.269999222406026	0.913040676112003	-0.630386567460059	0.960987351416466	2.95917388062392	0.208492598806637	-0.443192551463302	0.983396149753082	0.577684326209182	0.79429222277073	-0.803691407372455	0.693261298260836	1.10255342026411	0.812701932468276	0.492350834346287	0.844946359231674	-0.877097486600287	0.768943676306267	0.853363808675657	0.669264066742268
BRD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BRD7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BSX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BTAF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BTG2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CAMTA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CARF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CASZ1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CBFA2T3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CBFB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CC2D1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CC2D1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCDC62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCND1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDC5L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDX2	2.61732564484193	0.06498928339517	2.67913587562365	0.11418711201649	-0.822915846173644	0.72044631999415	-1.7479668239629	0.960987351416466	0.682873007699904	0.843652404127113	-0.681470985710627	0.983396149753082	1.13893693813006	0.5141328503111	-1.67056973725231	0.289687121072036	2.80385677843372	0.280645214249309	-3.1196413565873	0.0306428450077892	-1.08717678036354	0.68828839727197	2.36367363432986	0.107590376544674
CDX4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CEBPA	1.7806134949537	0.240756983586389	0.0655258692178533	0.974327888717984	-0.350463059280152	0.879048351326342	-0.260672496222988	0.960987351416466	-2.34466157916216	0.3071442735733	1.19857510082806	0.983396149753082	3.16620885097371	0.0261359770860477	-1.9425725207694	0.190915375760537	0.0607241233139674	0.992870520696487	-1.58816495184722	0.352782710101221	0.601344140332553	0.848411091837127	-1.02595042272343	0.588432366391335
CEBPB	4.02995147380649	0.00306836027456555	-1.38842855185126	0.533844840822342	-1.62484717444378	0.459097075037556	0.502535940794045	0.960987351416466	0.147003352594299	0.969242265227846	-1.38522478788779	0.983396149753082	5.0505966221144	3.22983656934613e-05	-0.310954423576718	0.893272934592786	-0.199244855591088	0.964873264980378	-1.41885669395823	0.439308198369032	-0.778114383086317	0.781217545241535	1.30501318488644	0.446705211865853
CEBPD	1.16281845382357	0.489806336607136	1.72795862576754	0.414368471524987	0.508337939576771	0.856481533994665	-0.0761881463379875	0.993874833710058	-0.109449624278925	0.969242265227846	0.0881983890841292	0.983396149753082	0.686219841677488	0.727291189602782	0.324199385717439	0.893272934592786	0.549311700423352	0.934329737697974	0.742825604025276	0.724238847575045	0.422045961173405	0.931183166357554	0.713136622421384	0.71961130028226
CEBPE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
